Время: 04/05/2017 21:14:47 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,657189805832314| Всего: 0,657189805832314| Состояние: OK 
Время: 04/09/2017 12:39:00 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0063360826281533| Всего: 3,04427209768643| Состояние: NOLOAD 
Время: 04/09/2017 12:39:03 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00379593394873474| Всего: 3,04806803163516| Состояние: NOLOAD 
Время: 04/09/2017 12:39:06 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00895367525003556| Всего: 3,0570217068852| Состояние: NOLOAD 
Время: 04/09/2017 12:39:09 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,000567317675131987| Всего: 3,05758902456033| Состояние: NOLOAD 
Время: 04/09/2017 12:39:12 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00673838254378102| Всего: 3,06432740710411| Состояние: NOLOAD 
Время: 04/09/2017 12:39:15 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00689618320525446| Всего: 3,07122359030936| Состояние: NOLOAD 
Время: 04/09/2017 12:39:18 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00965414893331665| Всего: 3,08087773924268| Состояние: NOLOAD 
Время: 04/09/2017 12:39:21 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00121404886767922| Всего: 3,08209178811036| Состояние: NOLOAD 
Время: 04/09/2017 12:39:24 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0060353010501877| Всего: 3,08812708916055| Состояние: NOLOAD 
Время: 04/09/2017 12:39:27 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00264721658669748| Всего: 3,09077430574725| Состояние: NOLOAD 
Время: 04/09/2017 12:39:30 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0037491450336525| Всего: 3,0945234507809| Состояние: NOLOAD 
Время: 04/09/2017 12:39:33 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00360184035897341| Всего: 3,09812529113987| Состояние: NOLOAD 
Время: 04/09/2017 12:39:36 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00523823354171507| Всего: 3,10336352468159| Состояние: NOLOAD 
Время: 04/09/2017 12:39:39 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00115650931427093| Всего: 3,10452003399586| Состояние: NOLOAD 
Время: 04/09/2017 12:39:42 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00568740539051937| Всего: 3,11020743938638| Состояние: NOLOAD 
Время: 04/09/2017 12:39:45 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00324055309558313| Всего: 3,11344799248196| Состояние: NOLOAD 
Время: 04/09/2017 12:39:48 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00813015170308303| Всего: 3,12157814418504| Состояние: NOLOAD 
Время: 04/09/2017 12:39:51 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00569326101601741| Всего: 3,12727140520106| Состояние: NOLOAD 
Время: 04/09/2017 12:39:54 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00905242541760785| Всего: 3,13632383061867| Состояние: NOLOAD 
Время: 04/09/2017 12:39:57 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00493339523437125| Всего: 3,14125722585304| Состояние: NOLOAD 
Время: 04/09/2017 12:40:00 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00931287387819629| Всего: 3,15057009973124| Состояние: NOLOAD 
Время: 04/09/2017 12:40:03 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00393467183873741| Всего: 3,15450477156998| Состояние: NOLOAD 
Время: 04/09/2017 12:40:06 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00803194417060909| Всего: 3,16253671574059| Состояние: NOLOAD 
Время: 04/19/2017 13:30:32 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0062801641953551| Всего: 0,0062801641953551| Состояние: OK 
Время: 04/19/2017 13:30:35 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,006160720175207| Всего: 0,0124408843705621| Состояние: NOLOAD 
Время: 04/19/2017 13:30:38 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0041036915053165| Всего: 0,0165445758758786| Состояние: NOLOAD 
Время: 04/19/2017 13:30:41 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00679435700494533| Всего: 0,0233389328808239| Состояние: NOLOAD 
Время: 04/19/2017 13:30:44 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00119793932940715| Всего: 0,024536872210231| Состояние: NOLOAD 
Время: 04/19/2017 13:30:47 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0092730778359217| Всего: 0,0338099500461527| Состояние: NOLOAD 
Время: 04/19/2017 13:30:50 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00997692966832636| Всего: 0,0437868797144791| Состояние: NOLOAD 
Время: 04/19/2017 13:30:53 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00165369978251574| Всего: 0,0454405794969948| Состояние: NOLOAD 
Время: 04/19/2017 13:30:56 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00306164874837811| Всего: 0,0485022282453729| Состояние: NOLOAD 
Время: 04/19/2017 13:30:59 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00750098377815494| Всего: 0,0560032120235278| Состояние: NOLOAD 
Время: 04/19/2017 13:31:02 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00812739892775537| Всего: 0,0641306109512832| Состояние: NOLOAD 
Время: 04/19/2017 13:31:05 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00469564921441285| Всего: 0,0688262601656961| Состояние: NOLOAD 
Время: 04/19/2017 13:31:08 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00621337236660224| Всего: 0,0750396325322983| Состояние: NOLOAD 
Время: 04/19/2017 13:31:11 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00930552709349688| Всего: 0,0843451596257952| Состояние: NOLOAD 
Время: 04/19/2017 13:31:14 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00804917322380895| Всего: 0,0923943328496041| Состояние: NOLOAD 
Время: 04/19/2017 13:31:17 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00289634375036524| Всего: 0,0952906765999693| Состояние: NOLOAD 
Время: 04/19/2017 13:31:22 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00538222147402457| Всего: 0,100672898073994| Состояние: NOLOAD 
Время: 04/19/2017 13:31:23 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00629166398956052| Всего: 0,106964562063555| Состояние: NOLOAD 
Время: 04/19/2017 13:31:26 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00918342633600506| Всего: 0,11614798839956| Состояние: NOLOAD 
Время: 04/19/2017 13:31:29 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00460733683063059| Всего: 0,120755325230191| Состояние: NOLOAD 
Время: 04/19/2017 13:31:32 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 5,01258019591336E-05| Всего: 0,12080545103215| Состояние: NOLOAD 
Время: 04/19/2017 13:31:35 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,000803388050200133| Всего: 0,12160883908235| Состояние: NOLOAD 
Время: 04/19/2017 13:31:38 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00665678792943097| Всего: 0,128265627011781| Состояние: NOLOAD 
Время: 04/19/2017 13:31:41 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,000707118166939876| Всего: 0,128972745178721| Состояние: NOLOAD 
Время: 04/19/2017 13:31:44 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00904734807975932| Всего: 0,13802009325848| Состояние: NOLOAD 
Время: 04/19/2017 13:31:47 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00647348957437719| Всего: 0,144493582832857| Состояние: NOLOAD 
Время: 04/19/2017 13:31:50 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0065213133657916| Всего: 0,151014896198649| Состояние: NOLOAD 
Время: 04/19/2017 13:31:53 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00239852135647019| Всего: 0,153413417555119| Состояние: NOLOAD 
Время: 04/19/2017 13:31:56 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00443949064446589| Всего: 0,157852908199585| Состояние: NOLOAD 
Время: 04/19/2017 13:41:48 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,510081709134431| Всего: 0,510081709134431| Состояние: OK 
Время: 04/19/2017 13:41:51 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00280980533119748| Всего: 0,512891514465628| Состояние: NOLOAD 
Время: 04/19/2017 13:41:54 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,469613433102897| Всего: 0,982504947568525| Состояние: OK 
Время: 04/19/2017 13:41:57 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,808721480802038| Всего: 1,79122642837056| Состояние: OK 
Время: 04/19/2017 13:42:00 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,177560776554775| Всего: 1,96878720492533| Состояние: OK 
Время: 04/19/2017 13:42:03 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,997292816172025| Всего: 2,96608002109735| Состояние: OK 
Время: 04/19/2017 13:42:10 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00220140378093412| Всего: 2,96828142487828| Состояние: NOLOAD 
Время: 04/19/2017 13:42:13 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0018967558545511| Всего: 2,97017818073283| Состояние: NOLOAD 
Время: 04/19/2017 13:42:16 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00997465541119438| Всего: 2,98015283614402| Состояние: NOLOAD 
Время: 04/19/2017 13:42:19 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00437071814870961| Всего: 2,98452355429273| Состояние: NOLOAD 
Время: 04/19/2017 13:42:22 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00683783818820391| Всего: 2,99136139248093| Состояние: NOLOAD 
Время: 04/19/2017 13:42:25 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00246826076529373| Всего: 2,99382965324622| Состояние: NOLOAD 
Время: 04/19/2017 13:42:28 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00920346243269903| Всего: 3,00303311567892| Состояние: NOLOAD 
Время: 04/19/2017 13:42:31 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00455665627240979| Всего: 3,00758977195133| Состояние: NOLOAD 
Время: 04/19/2017 13:42:34 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,000549450870859181| Всего: 3,00813922282219| Состояние: NOLOAD 
Время: 04/19/2017 13:42:37 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 9,2027471443651E-05| Всего: 3,00823125029363| Состояние: NOLOAD 
Время: 04/19/2017 13:42:40 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00447847538836229| Всего: 3,01270972568199| Состояние: NOLOAD 
Время: 04/19/2017 13:42:43 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00753508773051905| Всего: 3,02024481341251| Состояние: NOLOAD 
Время: 04/19/2017 13:42:46 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00520572246294735| Всего: 3,02545053587546| Состояние: NOLOAD 
Время: 04/19/2017 13:42:49 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00371453015772371| Всего: 3,02916506603318| Состояние: NOLOAD 
Время: 04/19/2017 13:42:52 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00842277592905926| Всего: 3,03758784196224| Состояние: NOLOAD 
Время: 04/19/2017 13:42:56 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00766280941556339| Всего: 3,0452506513778| Состояние: NOLOAD 
Время: 04/19/2017 13:42:58 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00479235752243193| Всего: 3,05004300890023| Состояние: NOLOAD 
Время: 04/19/2017 13:43:01 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00309716550777534| Всего: 3,05314017440801| Состояние: NOLOAD 
Время: 04/19/2017 18:09:38 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,487799035146739| Всего: 0,487799035146739| Состояние: OK 
Время: 04/19/2017 18:09:41 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,050690801372142| Всего: 0,538489836518881| Состояние: OK 
Время: 04/19/2017 18:09:44 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,834627291576298| Всего: 1,37311712809518| Состояние: OK 
Время: 04/19/2017 18:09:49 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00543177208184813| Всего: 1,37854890017703| Состояние: NOLOAD 
Время: 04/19/2017 18:09:52 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00328001366615296| Всего: 1,38182891384318| Состояние: NOLOAD 
Время: 04/19/2017 18:09:55 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0018523105894459| Всего: 1,38368122443263| Состояние: NOLOAD 
Время: 04/19/2017 18:09:58 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00792465126976587| Всего: 1,3916058757024| Состояние: NOLOAD 
Время: 04/19/2017 18:10:01 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00304197658926341| Всего: 1,39464785229166| Состояние: NOLOAD 
Время: 04/19/2017 18:10:04 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00768687461860798| Всего: 1,40233472691027| Состояние: NOLOAD 
Время: 04/19/2017 18:10:07 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00739297261805878| Всего: 1,40972769952833| Состояние: NOLOAD 
Время: 04/19/2017 18:10:10 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00949646815634168| Всего: 1,41922416768467| Состояние: NOLOAD 
Время: 04/19/2017 18:10:13 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0080485082362073| Всего: 1,42727267592088| Состояние: NOLOAD 
Время: 04/19/2017 18:10:16 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00716051294801781| Всего: 1,4344331888689| Состояние: NOLOAD 
Время: 04/19/2017 18:10:19 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00308607572833359| Всего: 1,43751926459723| Состояние: NOLOAD 
Время: 04/19/2017 18:10:22 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0064174998581491| Всего: 1,44393676445538| Состояние: NOLOAD 
Время: 04/19/2017 18:10:25 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00500373671529989| Всего: 1,44894050117068| Состояние: NOLOAD 
Время: 04/19/2017 18:10:28 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,000570324068223277| Всего: 1,4495108252389| Состояние: NOLOAD 
Время: 04/19/2017 18:10:31 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00586557178099899| Всего: 1,4553763970199| Состояние: NOLOAD 
Время: 04/19/2017 18:10:36 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00511038971371501| Всего: 1,46048678673362| Состояние: NOLOAD 
Время: 04/19/2017 18:10:37 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0017721004000735| Всего: 1,46225888713369| Состояние: NOLOAD 
Время: 04/19/2017 18:10:40 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0066931851053113| Всего: 1,468952072239| Состояние: NOLOAD 
Время: 04/19/2017 18:10:43 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00990166243161152| Всего: 1,47885373467061| Состояние: NOLOAD 
Время: 04/19/2017 18:10:46 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 9,40023269942041E-05| Всего: 1,4789477369976| Состояние: NOLOAD 
Время: 04/19/2017 18:12:40 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00873308363311602| Всего: 1,48768082063072| Состояние: NOLOAD 
Время: 04/19/2017 18:12:41 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,000650568809663211| Всего: 1,48833138944038| Состояние: NOLOAD 
Время: 04/19/2017 18:12:41 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00244902974574316| Всего: 1,49078041918612| Состояние: NOLOAD 
Время: 04/19/2017 18:12:43 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0068005556132647| Всего: 1,49758097479938| Состояние: NOLOAD 
Время: 04/19/2017 18:12:46 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00163175132667262| Всего: 1,49921272612605| Состояние: NOLOAD 
Время: 04/19/2017 18:12:49 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00760865697060184| Всего: 1,50682138309665| Состояние: NOLOAD 
Время: 04/19/2017 18:12:52 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00929403184414563| Всего: 1,5161154149408| Состояние: NOLOAD 
Время: 04/19/2017 18:12:55 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0036903961951334| Всего: 1,51980581113593| Состояние: NOLOAD 
Время: 04/19/2017 18:12:58 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00111323159705532| Всего: 1,52091904273299| Состояние: NOLOAD 
Время: 04/19/2017 18:13:01 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00352182744700547| Всего: 1,52444087018| Состояние: NOLOAD 
Время: 04/19/2017 18:13:08 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00352641055524648| Всего: 1,52796728073525| Состояние: NOLOAD 
Время: 04/19/2017 18:13:39 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,000303065423063499| Всего: 1,53656645645693| Состояние: NOLOAD 
Время: 04/19/2017 18:13:39 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00829611029862245| Всего: 1,53626339103387| Состояние: OK 
Время: 04/19/2017 18:13:41 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0021557206856812| Всего: 1,55790680782772| Состояние: OK 
Время: 04/19/2017 18:13:41 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00892836629828828| Всего: 1,5852045888804| Состояние: OK 
Время: 04/19/2017 18:13:41 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00677531654330684| Всего: 1,54734385819051| Состояние: OK 
Время: 04/19/2017 18:13:42 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,000296094375800385| Всего: 1,56801077086386| Состояние: OK 
Время: 04/19/2017 18:13:42 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00148842469392737| Всего: 1,56771467648806| Состояние: OK 
Время: 04/19/2017 18:13:43 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00840722895153203| Всего: 1,55575108714204| Состояние: OK 
Время: 04/19/2017 18:13:43 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0083194439664108| Всего: 1,56622625179413| Состояние: OK 
Время: 04/19/2017 18:13:44 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00400208519026734| Всего: 1,5405685416472| Состояние: OK 
Время: 04/19/2017 18:13:44 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00826545171824538| Всего: 1,57627622258211| Состояние: OK 
Время: 04/19/2017 18:13:45 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00213246545388012| Всего: 1,58733705433428| Состояние: OK 
Время: 04/19/2017 18:13:46 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,000521738366466825| Всего: 1,58785879270075| Состояние: OK 
Время: 04/19/2017 18:21:49 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00411417009034854| Всего: 1,5919729627911| Состояние: NOLOAD 
Время: 04/19/2017 18:21:52 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00756867041232468| Всего: 1,59954163320342| Состояние: NOLOAD 
Время: 04/19/2017 18:21:55 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00553379446060108| Всего: 1,60507542766402| Состояние: NOLOAD 
Время: 04/19/2017 18:21:58 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0083713720032812| Всего: 1,6134467996673| Состояние: NOLOAD 
Время: 04/19/2017 18:22:01 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00596838300859946| Всего: 1,6194151826759| Состояние: NOLOAD 
Время: 04/19/2017 18:22:04 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 5,89961558855121E-05| Всего: 1,61947417883179| Состояние: NOLOAD 
Время: 04/19/2017 18:22:07 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00111462415247905| Всего: 1,62058880298427| Состояние: NOLOAD 
Время: 04/19/2017 18:22:10 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00843431311120946| Всего: 1,62902311609548| Состояние: NOLOAD 
Время: 04/19/2017 18:22:13 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00497632791985587| Всего: 1,63399944401534| Состояние: NOLOAD 
Время: 04/19/2017 18:22:16 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,000412905686727215| Всего: 1,63441234970207| Состояние: NOLOAD 
Время: 04/19/2017 18:22:19 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00961318928264696| Всего: 1,64402553898472| Состояние: NOLOAD 
Время: 04/19/2017 18:22:22 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00478120327218492| Всего: 1,64880674225691| Состояние: NOLOAD 
Время: 04/19/2017 18:22:25 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,000830983920409802| Всего: 1,64963772617732| Состояние: NOLOAD 
Время: 04/19/2017 18:22:28 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0050517549761812| Всего: 1,6546894811535| Состояние: NOLOAD 
Время: 04/19/2017 18:22:52 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00629289994309326| Всего: 1,66098238109659| Состояние: NOLOAD 
Время: 04/19/2017 18:23:02 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00543331961866157| Всего: 1,66641570071525| Состояние: OK 
Время: 04/19/2017 18:23:12 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00452668078920184| Всего: 1,69142103726113| Состояние: OK 
Время: 04/19/2017 18:23:36 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00478996542971114| Всего: 1,69984510508361| Состояние: NOLOAD 
Время: 04/19/2017 18:23:39 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,0061144344350856| Всего: 1,7059595395187| Состояние: NOLOAD 
Время: 04/19/2017 18:23:42 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00100165152503254| Всего: 1,70696119104373| Состояние: NOLOAD 
Время: 04/19/2017 18:23:45 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00379500752491644| Всего: 1,71075619856865| Состояние: NOLOAD 
Время: 04/19/2017 18:23:48 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00745834282946696| Всего: 1,71821454139812| Состояние: NOLOAD 
Время: 04/19/2017 18:23:51 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00295466902803381| Всего: 1,72116921042615| Состояние: NOLOAD 
Время: 04/19/2017 18:23:54 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00345265643366271| Всего: 1,72462186685981| Состояние: NOLOAD 
Время: 04/19/2017 18:23:57 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00520476041138394| Всего: 1,72982662727119| Состояние: NOLOAD 
Время: 04/19/2017 18:24:00 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00960556805581114| Всего: 1,739432195327| Состояние: NOLOAD 
Время: 04/19/2017 18:24:03 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00182855060874883| Всего: 1,74126074593575| Состояние: NOLOAD 
Время: 04/19/2017 18:24:06 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00980471733482774| Всего: 1,75106546327058| Состояние: NOLOAD 
Время: 04/19/2017 18:24:09 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00851810335578309| Всего: 1,75958356662636| Состояние: NOLOAD 
Время: 04/19/2017 18:24:12 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00192729137927633| Всего: 1,76151085800564| Состояние: NOLOAD 
Время: 04/19/2017 18:24:15 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00268638552291616| Всего: 1,76419724352856| Состояние: NOLOAD 
Время: 04/19/2017 18:24:19 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00406308091434794| Всего: 1,76826032444291| Состояние: NOLOAD 
Время: 04/19/2017 18:24:37 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00207486251000076| Всего: 1,77033518695291| Состояние: NOLOAD 
Время: 04/19/2017 18:28:23 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,000922659840864437| Всего: 1,77125784679377| Состояние: NOLOAD 
Время: 04/19/2017 18:28:26 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00772201318653394| Всего: 1,7789798599803| Состояние: NOLOAD 
Время: 04/19/2017 18:28:29 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00105423544116981| Всего: 1,78003409542147| Состояние: NOLOAD 
Время: 04/19/2017 18:28:32 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00240720329452641| Всего: 1,782441298716| Состояние: NOLOAD 
Время: 04/19/2017 18:28:35 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00509209744403702| Всего: 1,78753339616004| Состояние: NOLOAD 
Время: 04/19/2017 18:28:38 Подразделение:  ДСЗ-3| Устройство: Отсев| Текущие показания: 0,00331978237876658| Всего: 1,79085317853881| Состояние: NOLOAD 
