Время: 04/15/2017 20:28:39 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,837340055423481| Всего: 0,837340055423481| Состояние: OK 
Время: 04/15/2017 20:53:23 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00719164555761574| Всего: 0,0524293869326028| Состояние: NOLOAD 
Время: 04/15/2017 20:53:26 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00790713946703223| Всего: 0,060336526399635| Состояние: NOLOAD 
Время: 04/15/2017 20:53:29 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00857342455935358| Всего: 0,0689099509589886| Состояние: NOLOAD 
Время: 04/15/2017 20:53:32 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00749198863631673| Всего: 0,0764019395953053| Состояние: NOLOAD 
Время: 04/15/2017 20:53:35 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,0092970247749691| Всего: 0,0856989643702744| Состояние: NOLOAD 
Время: 04/15/2017 20:53:38 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00458378774793064| Всего: 0,090282752118205| Состояние: NOLOAD 
Время: 04/15/2017 20:53:41 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00110044731809778| Всего: 0,0913831994363028| Состояние: NOLOAD 
Время: 04/15/2017 20:53:44 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,0033076634878794| Всего: 0,0946908629241822| Состояние: NOLOAD 
Время: 04/15/2017 20:53:47 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00749442336032839| Всего: 0,102185286284511| Состояние: NOLOAD 
Время: 04/15/2017 20:53:50 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00130957464282847| Всего: 0,103494860927339| Состояние: NOLOAD 
Время: 04/15/2017 20:53:53 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00336996601120102| Всего: 0,10686482693854| Состояние: NOLOAD 
Время: 04/15/2017 20:53:56 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00447464695874352| Всего: 0,111339473897284| Состояние: NOLOAD 
Время: 04/15/2017 20:53:59 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00724504513072085| Всего: 0,118584519028005| Состояние: NOLOAD 
Время: 04/15/2017 20:54:02 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00760907976311123| Всего: 0,126193598791116| Состояние: NOLOAD 
Время: 04/15/2017 20:54:05 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00920766582675635| Всего: 0,135401264617872| Состояние: NOLOAD 
Время: 04/15/2017 20:54:08 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00928622325849078| Всего: 0,144687487876363| Состояние: NOLOAD 
Время: 04/15/2017 20:54:11 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00530160169829689| Всего: 0,14998908957466| Состояние: NOLOAD 
Время: 04/15/2017 20:54:14 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00711856910824709| Всего: 0,157107658682907| Состояние: NOLOAD 
Время: 04/15/2017 20:54:17 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00553264773242765| Всего: 0,162640306415335| Состояние: NOLOAD 
Время: 04/15/2017 20:54:20 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00765241838882324| Всего: 0,170292724804158| Состояние: NOLOAD 
Время: 04/15/2017 20:54:23 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00815878364171776| Всего: 0,178451508445876| Состояние: NOLOAD 
Время: 04/15/2017 20:54:26 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00158751388154342| Всего: 0,180039022327419| Состояние: NOLOAD 
Время: 04/15/2017 20:54:29 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00317595144416017| Всего: 0,183214973771579| Состояние: NOLOAD 
Время: 04/15/2017 20:54:32 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00814535437065426| Всего: 0,191360328142233| Состояние: NOLOAD 
